thickness,Mass,logT,logg,logR,logtau,logL
thick,0.2,4.32892455176243,6.7116162,-1.48625937450758,4.81892844194263,32.8808555910979
thick,0.2,4.20948881936139,6.78158715,-1.52124481702468,5.69897000433602,32.3331416493805
thick,0.2,4.16301609767024,6.80552165,-1.53321207006931,6,32.1233164433895
thick,0.2,4.13757837984958,6.81841342,-1.53965786232066,6.17609125905568,32.0086738252663
thick,0.2,4.12079751884884,6.82694998,-1.54392611186739,6.30102999566398,31.9330137094899
thick,0.2,4.10850557814416,6.83325438,-1.54707837515568,6.39794000867204,31.8775415167959
thick,0.2,4.09608625812096,6.83971362,-1.55030798725326,6.50397430042862,31.8214050394916
thick,0.2,4.084066871782,6.8460555,-1.55347895312535,6.61283067325991,31.7669856041223
thick,0.2,4.07252651502684,6.85224162,-1.55657203799269,6.72255009889999,31.7146380161715
thick,0.2,4.06146373968441,6.85826751,-1.55958494865286,6.83195649659592,31.6643610973842
thick,0.2,4.05099753852546,6.86408009,-1.56249123257219,6.93945530179186,31.6166836312852
thick,0.2,4.0413991995266,6.86955632,-1.56522940732893,7.04185397667839,31.5728141182443
thick,0.2,4.03392756644516,6.87398667,-1.56744461947739,7.12304892420965,31.5384971977405
thick,0.2,4.0292172932863,6.8769862,-1.56894431108218,7.17491969090962,31.5166565892581
thick,0.2,4.02567823601271,6.87932075,-1.57011151908204,7.2147768450111,31.5001657795467
thick,0.2,4.02237933809661,6.88154548,-1.5712239543858,7.25294230692578,31.4847454388734
thick,0.2,4.01913333772938,6.88381485,-1.57235860131449,7.29187789328564,31.4694921213449
thick,0.2,4.01606794543995,6.88604284,-1.57347260649212,7.3297331838939,31.455002548847
thick,0.2,4.01318364085575,6.88820934,-1.57455595908828,7.36607631730545,31.4412988280446
thick,0.2,4.01043056463571,6.89034331,-1.57562275412572,7.40153218788374,31.4281526191828
thick,0.2,4.00772534598345,6.89249882,-1.57670065540185,7.43686935132244,31.4151762497179
thick,0.2,4.00507232022105,6.89467719,-1.57778973925715,7.47212179889882,31.4023857190744
thick,0.2,4.00243929178309,6.89689001,-1.57889623827383,7.50746361570552,31.3896407126373
