spec_type,logg,log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr)
DA,7,4.9,0.496,0.00013,0.03854,CO,1.687,0
DA,7,4.88,0.488,0.00015,0.038093,CO,1.6,0
DA,7,4.86,0.481,0.00017,0.037625,CO,1.514,0
DA,7,4.84,0.475,0.00017,0.037147,CO,1.428,0
DA,7,4.82,0.468,0.00017,0.036662,CO,1.343,0
DA,7,4.8,0.462,0.00015,0.036157,CO,1.257,0
DA,7,4.78,0.455,0.0001,0.035575,CO,1.171,0
DA,7,4.76,0.447,7E-05,0.035035,CO,1.084,0
DA,7,4.74,0.442,8E-05,0.034842,CO,0.998,0
DA,7,4.72,0.438,7E-05,0.034676,CO,0.914,0
DA,7.1,4.9,0.509,0.00017,0.034522,CO,1.599,0
DA,7.1,4.88,0.502,0.00021,0.034358,CO,1.512,0
DA,7.1,4.86,0.495,0.00024,0.034119,CO,1.426,0
DA,7.1,4.84,0.489,0.00027,0.033833,CO,1.341,0
DA,7.1,4.82,0.483,0.0003,0.033515,CO,1.255,0
DA,7.1,4.8,0.477,0.00031,0.033161,CO,1.17,0
DA,7.1,4.78,0.47,0.00031,0.03273,CO,1.084,0
DA,7.1,4.76,0.463,0.00029,0.0322,CO,0.998,0
DA,7.1,4.74,0.455,0.00027,0.031663,CO,0.911,0
DA,7.1,4.72,0.448,0.00028,0.03127,CO,0.825,0
DA,7.1,4.7,0.444,0.00033,0.031194,CO,0.741,0
DA,7.1,4.68,0.441,0.00035,0.031109,CO,0.658,0
DA,7.1,4.66,0.439,0.00033,0.03101,CO,0.575,0
DA,7.1,4.64,0.437,0.00028,0.030892,CO,0.493,0
DA,7.2,4.9,0.522,0.00021,0.030504,CO,1.51,0
DA,7.2,4.88,0.515,0.00026,0.030624,CO,1.425,0
DA,7.2,4.86,0.509,0.00031,0.030612,CO,1.339,0
DA,7.2,4.84,0.503,0.00037,0.030518,CO,1.253,0
DA,7.2,4.82,0.497,0.00042,0.030367,CO,1.168,0
DA,7.2,4.8,0.491,0.00047,0.030164,CO,1.083,0
DA,7.2,4.78,0.485,0.00051,0.029884,CO,0.998,0
DA,7.2,4.76,0.479,0.00054,0.02951,CO,0.912,0
DA,7.2,4.74,0.472,0.00057,0.029113,CO,0.826,0
DA,7.2,4.72,0.465,0.00061,0.028705,CO,0.739,0
DA,7.2,4.7,0.457,0.00067,0.028292,CO,0.653,0
DA,7.2,4.68,0.45,0.00078,0.027891,CO,0.566,0
DA,7.2,4.66,0.447,0.0009,0.027885,CO,0.483,0
DA,7.2,4.64,0.444,0.001,0.027859,CO,0.401,0
DA,7.2,4.62,0.442,0.00106,0.027808,CO,0.319,0
DA,7.2,4.6,0.44,0.0011,0.027728,CO,0.237,0
DA,7.2,4.58,0.438,0.00111,0.027609,CO,0.154,0
DA,7.2,4.56,0.436,0.00118,0.027465,CO,0.072,0
DA,7.3,4.9,0.537,0.00021,0.027312,CO,1.423,10.07744
DA,7.3,4.88,0.529,0.00031,0.026977,CO,1.337,11.59344
DA,7.3,4.86,0.523,0.00039,0.027106,CO,1.251,0
DA,7.3,4.84,0.517,0.00047,0.027204,CO,1.166,0
DA,7.3,4.82,0.511,0.00055,0.027219,CO,1.081,0
DA,7.3,4.8,0.506,0.00063,0.027168,CO,0.996,0
DA,7.3,4.78,0.5,0.00072,0.027038,CO,0.911,0
DA,7.3,4.76,0.494,0.00079,0.026819,CO,0.825,0
DA,7.3,4.74,0.488,0.00087,0.026562,CO,0.74,0
DA,7.3,4.72,0.482,0.00096,0.026282,CO,0.654,0
DA,7.3,4.7,0.475,0.00107,0.025984,CO,0.569,0
DA,7.3,4.68,0.469,0.00122,0.025681,CO,0.483,0
DA,7.3,4.66,0.462,0.00142,0.025375,CO,0.397,0
DA,7.3,4.64,0.455,0.00167,0.025072,CO,0.311,0
DA,7.3,4.62,0.449,0.00196,0.024866,CO,0.226,0
DA,7.3,4.6,0.447,0.00219,0.024877,CO,0.144,0
DA,7.3,4.58,0.445,0.00241,0.024855,CO,0.062,0
DA,7.3,4.56,0.443,0.00267,0.024804,CO,-0.02,0
DA,7.3,4.54,0.441,0.0031,0.024728,CO,-0.102,0
DA,7.3,4.52,0.439,0.00417,0.024614,CO,-0.185,0
DA,7.4,4.9,0.554,0.0002,0.02482,CO,1.336,6.87163
DA,7.4,4.88,0.548,0.00028,0.024621,CO,1.251,8.12256
DA,7.4,4.86,0.541,0.0004,0.024395,CO,1.166,9.48471
DA,7.4,4.84,0.533,0.00053,0.024146,CO,1.079,10.95369
DA,7.4,4.82,0.526,0.00068,0.024071,CO,0.994,0
DA,7.4,4.8,0.52,0.0008,0.024171,CO,0.909,0
DA,7.4,4.78,0.515,0.00092,0.024192,CO,0.824,0
DA,7.4,4.76,0.51,0.00104,0.024128,CO,0.739,0
DA,7.4,4.74,0.504,0.00117,0.024012,CO,0.654,0
DA,7.4,4.72,0.499,0.00131,0.023858,CO,0.57,0
DA,7.4,4.7,0.493,0.00147,0.023676,CO,0.485,0
DA,7.4,4.68,0.487,0.00167,0.023477,CO,0.4,0
DA,7.4,4.66,0.482,0.00191,0.023267,CO,0.314,0
DA,7.4,4.64,0.476,0.00221,0.02305,CO,0.229,0
DA,7.4,4.62,0.47,0.00257,0.022835,CO,0.144,0
DA,7.4,4.6,0.464,0.00299,0.022631,CO,0.059,0
DA,7.4,4.58,0.458,0.00348,0.022439,CO,-0.026,0
DA,7.4,4.56,0.453,0.00406,0.02226,CO,-0.111,0
DA,7.4,4.54,0.449,0.00467,0.022157,CO,-0.194,0
DA,7.4,4.52,0.448,0.00539,0.022144,CO,-0.276,0
DA,7.4,4.5,0.445,0.00812,0.022068,CO,-0.359,0
DA,7.4,4.48,0.442,0.0131,0.02198,CO,-0.442,0
DA,7.4,4.46,0.439,0.01987,0.021891,CO,-0.525,0
DA,7.4,4.44,0.436,0.02905,0.021798,CO,-0.608,0
DA,7.5,4.9,0.571,0.00018,0.022328,CO,1.25,3.66582
