spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DA,1.3,3.44,-6.1812,9.4482,3.6652,0.0035,20.193,19.777,20.2312,19.1789
DA,1.3,3.46,-6.101,9.448,3.6577,0.0035,19.9924,19.5986,20.0956,18.9631
DA,1.3,3.48,-6.0207,9.4477,3.6502,0.0035,19.7918,19.4269,19.9646,18.758
DA,1.3,3.5,-5.9405,9.4475,3.6427,0.0036,19.5912,19.2523,19.8277,18.5539
DA,1.3,3.52,-5.8602,9.4473,3.6353,0.0036,19.3906,19.0831,19.6898,18.3612
DA,1.3,3.54,-5.78,9.447,3.6278,0.0036,19.19,18.9199,19.5511,18.1798
DA,1.3,3.56,-5.6997,9.4468,3.6203,0.0036,18.9894,18.7565,19.4016,18.0058
DA,1.3,3.58,-5.6195,9.4466,3.6128,0.0036,18.7887,18.6038,19.252,17.8498
DA,1.3,3.6,-5.5393,9.4463,3.6053,0.0036,18.5881,18.4487,19.0871,17.7003
DA,1.3,3.62,-5.4592,9.4463,3.5964,0.0036,18.3881,18.2935,18.9105,17.5588
DA,1.3,3.64,-5.3792,9.4462,3.582,0.0036,18.1879,18.1293,18.7156,17.4157
DA,1.3,3.66,-5.2991,9.4462,3.56,0.0036,17.9878,17.9566,18.5046,17.2706
DA,1.3,3.68,-5.2191,9.4461,3.5322,0.0036,17.7877,17.7599,18.2625,17.1083
DA,1.3,3.7,-5.139,9.4461,3.4936,0.0036,17.5875,17.5739,18.0311,16.9569
DA,1.3,3.72,-5.0589,9.446,3.4357,0.0036,17.3873,17.3769,17.789,16.7961
DA,1.3,3.74,-4.9788,9.4458,3.3579,0.0036,17.1869,17.1684,17.536,16.6257
DA,1.3,3.76,-4.8986,9.4457,3.2507,0.0036,16.9865,16.9645,17.2889,16.4611
DA,1.3,3.78,-4.8184,9.4455,3.122,0.0036,16.7861,16.7705,17.0558,16.304
DA,1.3,3.8,-4.7383,9.4453,3.005,0.0036,16.5857,16.585,16.8346,16.1543
DA,1.3,3.82,-4.6581,9.4452,2.9121,0.0036,16.3853,16.4062,16.6226,16.0109
DA,1.3,3.84,-4.578,9.445,2.8276,0.0036,16.1849,16.2339,16.4192,15.8737
DA,1.3,3.86,-4.4978,9.4449,2.7433,0.0036,15.9846,16.068,16.224,15.7424
DA,1.3,3.88,-4.4177,9.4448,2.6582,0.0036,15.7843,15.9085,16.0377,15.6159
DA,1.3,3.9,-4.3376,9.4447,2.572,0.0036,15.584,15.7538,15.8592,15.4925
DA,1.3,3.92,-4.2575,9.4445,2.4848,0.0036,15.3837,15.603,15.6872,15.3711
DA,1.3,3.94,-4.1773,9.4444,2.3968,0.0036,15.1833,15.4546,15.5201,15.2504
DA,1.3,3.96,-4.0972,9.4443,2.3084,0.0036,14.983,15.3087,15.3573,15.1313
DA,1.3,3.98,-4.017,9.4441,2.22,0.0036,14.7826,15.1644,15.1976,15.0133
DA,1.3,4,-3.9369,9.444,2.1316,0.0036,14.5823,15.022,15.0407,14.8968
DA,1.3,4.02,-3.8568,9.4438,2.0433,0.0036,14.3819,14.8815,14.8865,14.7822
DA,1.3,4.04,-3.7766,9.4436,1.9552,0.0036,14.1814,14.7456,14.7371,14.6714
DA,1.3,4.06,-3.6964,9.4434,1.8674,0.0036,13.981,14.6175,14.5961,14.5678
DA,1.3,4.08,-3.6162,9.4432,1.7802,0.0036,13.7804,14.4993,14.4652,14.4726
DA,1.3,4.1,-3.536,9.443,1.6937,0.0036,13.5799,14.3894,14.343,14.3844
DA,1.3,4.12,-3.4557,9.4428,1.6084,0.0036,13.3793,14.2862,14.2277,14.3016
DA,1.3,4.14,-3.3755,9.4426,1.5246,0.0036,13.1788,14.1898,14.1198,14.2247
DA,1.3,4.16,-3.2953,9.4424,1.4432,0.0036,12.9782,14.1028,14.0222,14.156
DA,1.3,4.18,-3.2151,9.4422,1.3649,0.0036,12.7778,14.0302,13.9405,14.0991
DA,1.3,4.2,-3.1349,9.442,1.2896,0.0036,12.5772,13.9721,13.8752,14.0538
DA,1.3,4.22,-3.0547,9.4417,1.2174,0.0036,12.3767,13.9109,13.8064,14.0058
DA,1.3,4.24,-2.9744,9.4415,1.1484,0.0036,12.176,13.8393,13.7262,13.9494
DA,1.3,4.26,-2.8939,9.441,1.0802,0.0036,11.9748,13.7594,13.6368,13.885
DA,1.3,4.28,-2.8133,9.4403,1.0125,0.0036,11.7732,13.6751,13.5432,13.8151
DA,1.3,4.3,-2.7327,9.4398,0.9473,0.0036,11.5718,13.5902,13.4491,13.7435
DA,1.3,4.32,-2.6523,9.4394,0.8848,0.0036,11.3708,13.5061,13.3562,13.6722
DA,1.3,4.34,-2.5719,9.439,0.8247,0.0036,11.1698,13.4221,13.2635,13.6006
DA,1.3,4.36,-2.4914,9.4385,0.7671,0.0036,10.9685,13.3374,13.1704,13.5284
DA,1.3,4.38,-2.4108,9.4379,0.7121,0.0036,10.767,13.2514,13.0762,13.4548
DA,1.3,4.4,-2.329,9.4361,0.6572,0.0036,10.5626,13.1613,12.9778,13.377
DA,1.3,4.42,-2.2473,9.4343,0.6046,0.0036,10.3581,13.0682,12.8765,13.2962
DA,1.3,4.44,-2.1635,9.4306,0.5511,0.0036,10.1488,12.9663,12.7665,13.2067
DA,1.3,4.46,-2.0773,9.4244,0.4938,0.0036,9.9334,12.8536,12.6459,13.1056
DA,1.3,4.48,-1.9921,9.4192,0.4396,0.0037,9.7203,12.7421,12.527,13.0047
DA,1.3,4.5,-1.9031,9.4102,0.381,0.0037,9.4977,12.624,12.4024,12.8957
DA,1.3,4.52,-1.8086,9.3956,0.3159,0.0038,9.2614,12.4989,12.2717,12.7784
